,Ingredient,TF-IDF Value,Recipe_ID
62,소금,0.05770680947440781,5
63,찹쌀,0.43222625703929934,5
64,팥,0.4721041011853836,5
65,물,0.1398568718814425,5
66,청동호박,0.7450007014920622,5
67,설탕,0.1375483949337899,6
68,소금,0.07133212788158326,6
69,쌀,0.5241729003085014,6
70,물,0.17287887445223618,6
71,흑임자,0.819358182929374,6
72,소금,0.049820967755334365,7
73,당근,0.17723349854102952,7
74,밥,0.25368970863432627,7
75,통후추,0.3978370939758491,7
76,쇠고기,0.19105063383639306,7
77,감자,0.29182245853656474,7
78,양파,0.14052274239220872,7
79,완두콩,0.4598579091921103,7
80,우유,0.3731609945359014,7
81,카레가루,0.5013457678510002,7
82,계란,0.161314683528754,8
83,소금,0.04397352256156645,8
84,당근,0.1564317514873013,8
85,밥,0.22391436033625264,8
86,물,0.1065731993690651,8
87,양파,0.12402970599332366,8
88,다시마,0.2547042052032578,8
89,멸치,0.30178369979750125,8
90,쌈장,0.4684844489436019,8
91,오이,0.20579133966621438,8
92,전분,0.4425032356257539,8
93,청피망,0.34328509532860463,8
94,홍피망,0.3597509641230525,8
95,후춧가루,0.09921814029714926,8
96,국간장,0.3393948540522154,9
97,소금,0.0531712240364293,9
98,참기름,0.10785706821771206,9
99,홍고추,0.1857565607781748,9
100,물,0.12886453324265473,9
101,감자,0.3114463251277956,9
102,멸치,0.3649061475575328,9
103,밀가루,0.24883558989001353,9
104,실파,0.243035871529867,9
105,애호박,0.38367260149334875,9
106,양념장,0.5664747816708917,9
107,계란,0.1457569508475633,10
108,설탕,0.07661555964943369,10
109,소금,0.03973256759021559,10
110,쇠고기,0.15236420655930052,10
111,오이,0.18594412811302433,10
112,냉면,0.42330222707437987,10
113,동치미국물,0.4563890823204053,10
114,동치미무,0.4563890823204053,10
115,배,0.2867020244052304,10
116,쇠고기육수,0.4563890823204053,10
117,식초,0.16510726974843998,10
118,계란,0.1693725415364628,11
119,설탕,0.08902883864958396,11
120,소금,0.04617005168804687,11
121,참기름,0.09365529014568419,11
122,통후추,0.36868330784924636,11
123,홍고추,0.16129758469818548,11
124,깨소금,0.13234024435103445,11
125,쇠고기,0.17705030706305247,11
126,간장,0.09901948581367845,11
127,동치미국물,0.5303333964700131,11
128,동치미무,0.5303333964700131,11
129,국수,0.4115420948107834,11
130,다진마늘,0.09149870994216001,12
131,설탕,0.08742024117836854,12
132,청고추,0.18580490323927573,12
133,홍고추,0.1583832157050113,12
134,고춧가루,0.13875344833124537,12
135,물,0.1098748764500975,12
136,냉면,0.48299827021437597,12
137,식초,0.1883914626187458,12
138,겨자,0.39167311139412503,12
139,다진생강,0.29748279882129713,12
140,대파,0.13424723915468606,12
141,열무,0.48299827021437597,12
142,찹쌀가루,0.362021836738521,12
143,계란,0.1840381448020232,13
144,부추,0.33900926094765343,13
145,표고버섯,0.23292345005270282,13
146,쇠고기,0.1923807114950683,13
147,오이,0.23477996881630578,13
148,양념장,0.5344771285920187,13
149,국수,0.44717663766419663,13
150,깻잎,0.3043411792565341,13
151,상추,0.35575423693960995,13
152,다진마늘,0.07749016698108974,14
153,소금,0.03839487682789037,14
154,돼지고기,0.21761092785311661,14
155,표고버섯,0.1782630323778845,14
156,파,0.28213870161384946,14
157,국수,0.3422371745761509,14
158,계란흰자,0.3863656181741322,14
159,녹말가루,0.23578884650080567,14
160,멸칫국물,0.44102366557355427,14
161,새우,0.2248950162138084,14
162,오징어,0.21996498009571588,14
163,죽순,0.29342290346011635,14
164,청주,0.19550774612312588,14
165,홍합,0.30659593558643944,14
166,다진마늘,0.10935649302407409,15
167,다진파,0.17745656245466995,15
168,설탕,0.10448203040926339,15
169,소금,0.054184024161594735,15
170,숙주,0.44328390805874296,15
171,참기름,0.10991151880015554,15
172,표고버섯,0.25157024195650113,15
